2026-04-02 20:13:12 | INFO    | STEP 03 | Candidate ratio values=33
2026-04-02 20:13:12 | INFO    | STEP 03 | Candidate tick labels=4
2026-04-02 20:13:12 | INFO    | STEP 04 | Searching for scale-bar vector rectangles
2026-04-02 20:13:12 | INFO    | STEP 04 | Bar rectangle candidates=9
2026-04-02 20:13:12 | INFO    | STEP 05 | Writing JSON outputs
2026-04-02 20:13:12 | INFO    | STEP 06 | Generating annotated images
2026-04-02 20:13:12 | INFO    | STEP 06 | Saved annotated image: outputs\scale_detection\visualizations\page_001_scale_annotated.png
2026-04-02 20:13:12 | INFO    | STEP 07 | Done
2026-04-02 20:13:12 | INFO    | STEP 07 | Result file: outputs\scale_detection\scale_detection.json
2026-04-02 20:13:12 | INFO    | STEP 07 | Log file: outputs\scale_detection\run.log
2026-04-02 20:17:24 | INFO    | STEP 01 | Starting focused scale-bar detection
2026-04-02 20:17:24 | INFO    | STEP 01 | PDF: examples\Joal 502.pdf
2026-04-02 20:17:24 | INFO    | STEP 01 | Output dir: outputs\scale_detection
2026-04-02 20:17:24 | INFO    | STEP 02 | Page count: 1
2026-04-02 20:17:24 | INFO    | STEP 02 | Page 1 words: 434
2026-04-02 20:17:24 | INFO    | STEP 02 | Page 1 drawings: 5870
2026-04-02 20:17:24 | INFO    | STEP 03 | Locating scale-related tokens
2026-04-02 20:17:24 | INFO    | STEP 03 | Primary scale tokens=4
2026-04-02 20:17:24 | INFO    | STEP 03 | Candidate ratio values=33
2026-04-02 20:17:24 | INFO    | STEP 03 | Candidate tick labels=4
2026-04-02 20:17:24 | INFO    | STEP 04 | Searching for scale-bar vector rectangles
2026-04-02 20:17:24 | INFO    | STEP 04 | Bar rectangle candidates=9
2026-04-02 20:17:24 | INFO    | STEP 04B | Computing unit calibration from detected scale ticks
2026-04-02 20:17:24 | INFO    | STEP 04B | Parsed scale ratio denominator=500
2026-04-02 20:17:24 | INFO    | STEP 04B | Parsed numeric tick count=3
2026-04-02 20:17:24 | INFO    | STEP 04B | Tick pair selected: start=0.000 end=25.000 delta_m=25.000 delta_points=99.663
2026-04-02 20:17:24 | INFO    | STEP 04B | Calibration computed: m/pt=0.250844672 m/px=0.082094620
2026-04-02 20:17:24 | INFO    | STEP 04B | Ratio-formula cross-check m/px=0.057727273
2026-04-02 20:17:24 | INFO    | STEP 05 | Writing JSON outputs
2026-04-02 20:17:24 | INFO    | STEP 06 | Generating annotated images
2026-04-02 20:17:25 | INFO    | STEP 06 | Saved annotated image: outputs\scale_detection\visualizations\page_001_scale_annotated.png
2026-04-02 20:17:25 | INFO    | STEP 07 | Done
2026-04-02 20:17:25 | INFO    | STEP 07 | Result file: outputs\scale_detection\scale_detection.json
2026-04-02 20:17:25 | INFO    | STEP 07 | Log file: outputs\scale_detection\run.log
